proposal_id,proposal_text,creation_datetime,nb_entailed_proposals,nb_contradictory_proposals,nb_votes_for,nb_votes_mixed,nb_votes_against,nb_args_for,nb_args_against,controversiality_nli,controversiality_votes,controversiality_args
725,"Réaffirmer la soumission des conditions générales relatives aux données à caractère personnel  aux règles du Code de la consommation. Affirmer la soumission des conditions générales relatives aux traitements des données à caractère personnel aux exigences des article L. 133-2 du Code de la consommation et L. 132-1 et suivants relatifs aux clauses abusives.


[Dans ce cas, soumettre leur contrôle aux mêmes organes de contrôle (ainsi qu’aux recommandations de la Commission des clauses abusives). 

Éléments de contexte
Explication de l'article :
Les conditions générales ne sont que très rarement lues et souvent obscures. Aussi est-il nécessaire de procéder à une réaffirmation de leurs nécessaires caractères compréhensible et transparent. Des associations de défense des consommateurs ont déjà commencé à requérir des juridictions des contrôles de ce type. Dans le même ordre d’idées, la Commission des clauses abusives a émis une recommandation n° 2014-2, relative aux contrats proposés par les fournisseurs de service de réseaux sociaux.",2015-10-18 11:41:51,61,2,1.0,0.0,0.0,1.0,0.0,0.04838709677419355,-1.0,-1.0
726,"Instaurer un système de pictogrammes informatifs relatifs aux traitements des données à caractère personnel. Imposer un système uniformisé de pictogrammes informatifs relatif aux traitements, usages, finalités, et durées de conservation des données à caractère personnel. 

Éléments de contexte
Explication de l'article :
Le premier impératif concernant la protection des données à caractère personnel est de permettre aux personnes de s’informer correctement sur les données récoltées et les usages qui en sont faits.


Les conditions générales ne sont que très rarement lues et souvent obscures. Aussi serait-il bénéfique de développer un système de pictogrammes simple et uniforme – facilement compréhensible par l’internaute moyen – permettant d’indiquer clairement et rapidement le type de données récoltées, leur quantité, leurs traitements, la finalité de ces derniers ainsi que leur durée.


Ces pictogrammes devraient être présents sur les pages de navigation du site et non sur la seule page dédiée aux conditions générales.


Le législateur pourrait s’inspirer des privacy icons développées par le Conseil national du numérique et présentés dans son avis 2014-2.",2015-10-18 11:44:02,71,0,1.0,0.0,0.0,0.0,0.0,0.013888888888888888,-1.0,-1.0
727,"Imposer un reporting annuel relatif aux traitements dont font l’objet les données à caractère personnel d’une personne. Instaurer une obligation pour les responsables de traitement d’un reporting annuel individualisé.

Éléments de contexte
Explication de l'article :
Le premier impératif concernant la protection des données à caractère personnel est de permettre aux personnes de s’informer correctement sur les données récoltées et les usages qui en sont faits.


Il est impossible pour l’utilisateur d’avoir une vue d’ensemble des collectes et des utilisations effectuées de ses données par un opérateur (et par les partenaires de son « silo »), ainsi que de l’évolution de ces dernières dans le temps.


C’est pourquoi les opérateurs devraient avoir pour obligation annuelle de produire et de communiquer à l’utilisateur une synthèse des données qu’ils détiennent le concernant — leur type, leur quantité, les traitements dont elles font l’objet, leurs finalités, leurs durées d’exploitation/conservation —, en relation le cas échéant avec les partenaires de son « silo » ou « écosystème » (c’est-à-dire des transferts de données entre les différents services d’un même opérateur ou écosystèmes (tels ceux de Google, Apple, Microsoft, etc.), ou encore à l’extérieur de cet écosystème (sous-traitants à qui elles sont communiquées, lieux de traitement, etc.).",2015-10-18 11:46:02,76,4,1.0,0.0,0.0,0.0,0.0,0.06493506493506493,-1.0,-1.0
728,"Instaurer une obligation de transparence relative au lien entre l’accès à des services et un traitement de données à caractère personnel.. Imposer aux opérateurs d’informer clairement l’utilisateur de l’éventuelle incidence d’un consentement donné ou non au traitement de ses données à caractère personnel sur le fonctionnement du service. 

Éléments de contexte
Explication de l'article :
Le premier impératif concernant la protection des données à caractère personnel est de permettre aux personnes de s’informer correctement sur les données récoltées et les usages qui en sont faits.


Les opérateurs invoquent régulièrement le bon fonctionnement du service ou son amélioration pour justifier le traitement des données à caractère personnel.


Une bonne information de l’utilisateur impose, ainsi que l’affirme la CNIL, que ce dernier puisse juger de la pertinence ou non du traitement de ses données à caractère personnel pour le fonctionnement du service en l’échange duquel il les fournit. Pour cela, les opérateurs doivent informer l’utilisateur de façon loyale et transparente de l’utilité du traitement des données pour la performance de leur service.",2015-10-18 11:47:37,113,8,1.0,0.0,0.0,0.0,0.0,0.07894736842105263,-1.0,-1.0
729,"Imposer un tableau de bord permettant à toute personne concernée d’avoir la maîtrise de ses données à caractère personnel à l’égard d’un responsable de traitement ou de son écosystème.. Les plateformes offrant divers services à l’occasion desquels sont effectués des traitements de données à caractère personnel doivent informer les personnes concernées par ces traitement si des croisements de données sont effectués entre ces services.


Il doit fournir aux personnes concernées, quand leur consentement est le fondement légitime du traitement, des moyens simples de contrôler et de décider des traitements effectués, ainsi que des finalités auxquelles peuvent servir ces traitements.  

Éléments de contexte
Explication de l'article :
Le premier impératif concernant la protection des données à caractère personnel est de permettre aux personnes de s’informer correctement sur les données récoltées et les usages qui en sont faits.


Cette information doit s’appliquer aux données relatives à l’usage d’un service mais également à l’ensemble des données susceptibles d’être mises en relation. Le fonctionnement en silo des grands opérateurs type Google, Apple, Microsoft, etc. impose que l’utilisateur puisse bénéficier d’une vue d’ensemble des données détenues par chaque système et des usages qui en sont faits, notamment par croisement.",2015-10-18 11:48:56,142,8,1.0,0.0,0.0,0.0,0.0,0.06293706293706294,-1.0,-1.0
730,"Réaffirmation périodique du consentement. Le consentement de la personne concernée, quand il légitime initialement le traitement de ses données à caractère personnel, devra être renouvelé périodiquement.

Éléments de contexte
Explication de l'article :
Au-delà d’une information satisfaisante de l’utilisateur, la protection des données à caractère personnel exige la maîtrise dans le temps des traitements qui en sont faits.


Aujourd’hui, quand le consentement légitime initialement les traitements, il est accordé de façon ponctuel et pour une durée définie par l’opérateur. Or, les données collectées et les usages qui peuvent en être effectués sont susceptibles d’évolution, tout comme la volonté de l’utilisateur. C’est pourquoi ce consentement devrait pouvoir être être réaffirmé de façon périodique, concernant les données exploitées et les traitements en cours. Cette périodicité pourrait être fondée sur une période de péremption moyenne des données en fonction des usages et finalités. Ce renouvellement du consentement serait obligatoire pour les données entretenant un lien direct avec la personne.",2015-10-18 11:50:45,131,10,1.0,0.0,0.0,1.0,1.0,0.08333333333333333,-1.0,-1.0
731,"Les représentations et actions collectives. Favoriser les modes de représentation collective des personnes concernées par les traitements de données à caractère personnel

Éléments de contexte
Explication de l'article :
Les données récoltées ne prennent de valeur qu’agrégées avec d’autres ; par ailleurs, le rapport de force entre responsables de traitements et personnes concernées peuvent être déséquilibrés.


Il faut donc promouvoir des modes de représentation collective pour permettre des formes de négociations collectives en matière de politiques de traitements des données à caractère personnel : création d’associations, de syndicats ou de tout autre structure de représentation efficace pour donner aux utilisateurs un pouvoir de négocier les politiques de traitement des données.


Il faut également ouvrir la possibilité d’action collective, 
née de la Loi du 17 mars 2014 dite « Hamon », en gommant les obstacles à de telles actions en matière de traitements de données à caractère personnel (exigence d’un dommage « matériel », etc.).",2015-10-18 11:52:09,53,3,1.0,0.0,0.0,1.0,0.0,0.07407407407407407,-1.0,-1.0
767,"Autoriser un accès ""fair"" aux données et avis créés par les internautes sur les plateformes. Les plateformes publiant les données ou avis saisis publiquement par des internautes doivent permettre aux tierces parties d'exploiter ces données ou avis, dans des conditions économiques ""fair"", via des interfaces de programmation applicatives (API).

Éléments de contexte
Explication de l'article :
Certaines plateformes, le plus souvent étatsuniennes,
sont en situation de quasi-monopole dans certains domaines (par exemple, dans le tourisme, TripAdvisor, Booking, Hotels.com...). Elles tirent partiellement leur succès de la contribution d'un grand nombre d'internautes, qui y déposent publiquement avis textuels ou autres données. Ces internautes disposent en principe d'un droit d'auteur sur les avis qu'ils rédigent, mais les plateformes se les approprient par une décision unilatérale, sans rétribuer leurs auteurs.
La proposition est d'imposer à ces plateformes une
obligation de proposer aux tierces parties, dans des conditions économiques ""fair"", un accès de type API
à ces données pour en faciliter la réutilsation dans le cadre d'autres services ou plateformes ; cela permettrait de créer un écosystème de la donnée supplémentaire.",2015-10-18 21:22:08,123,0,1.0,0.0,0.0,1.0,0.0,0.008064516129032258,-1.0,-1.0
761,"Etat civil numérique et assurance-vie. Imposer aux gestionnaires de contrats d'assurance-vie une obligation de déclaration numérique de l'assuré et des bénéficiaires auprès des services en charge de l'état-civil ; en cas de décès de l'assuré, les bénéficiaires sont immédiatement informés de l'existence du contrat et des coordonnées du gestionnaire du contrat.

Éléments de contexte
Explication de l'article :
Actuellement, les bénéficiaires d'un contrat d'assurance-vie, s'ils ne retrouvent pas dans les archives de la personne décédée les informations sur l'existence du contrat et les coordonnées du gestionnaire, n'ont pas de moyen de localiser ce dernier. C'est particulièrement le cas quand le contrat est géré à partir d'un autre pays de l'Union européenne.",2015-10-18 19:08:40,42,7,3.0,0.0,0.0,0.0,0.0,0.18604651162790697,-1.0,-1.0
759,"Protéger les données de connexion. Insérer un article à […] ainsi rédigé :


« Les données de connexion sont comprises dans le secret des correspondances »

Éléments de contexte
Explication de l'article :",2015-10-18 18:42:56,134,12,1.0,0.0,0.0,0.0,0.0,0.0962962962962963,-1.0,-1.0
