proposal_id;proposal_text;creation_datetime;nb_entailed_proposals;nb_contradictory_proposals;nb_votes_for;nb_votes_mixed;nb_votes_against;nb_args_for;nb_args_against;controversiality_nli;controversiality_votes;controversiality_args;label
393;"23 : Autoriser les actions de groupe notamment en matière d'atteinte au droit sur les données personnelles et la neutralité du Net. Rédaction de l'article :


 


« Supprimer le dernier alinéa de l'article L.423-1 du code de la consommation. »


 

Éléments de contexte
Explication de l'article :
L'article L.423-1 du code de la consommation restreint la réparation en cas d'action de groupe aux préjudices matériels : « Seule la réparation des préjudices matériels résultant d'une atteinte au
 patrimoine des consommateurs et résultant d'une des causes mentionnées
 ci-dessus peut être poursuivie par cette action. »






Afin de permettre des actions de groupe notamment concernant l'atteinte au droit sur les données personnelles et la neutralité du Net, il convient de faire porter la réparation à l'ensemble des préjudices et non seulement aux préjudices matériels.";2015-10-02 17:44:00;121;1;2051.0;26.0;3.0;6.0;6.0;0.0163934426229508;0.0144369586140519;1.0;data privacy
114;"Interdiction du démarchage téléphonique en France. Interdiction du démarchage téléphonique en France sur lignes fixes et mobiles.

Éléments de contexte
Explication de l'article :
Nombre de citoyens subissent le démarchage téléphonique comme un harcèlement. ils deviennent plus difficilement joignables par leurs proches et les appels justifiés. Les dispositifs Pacitel et filtres box ne sont pas efficaces.";2015-09-26 15:33:46;5;0;118.0;17.0;5.0;7.0;7.0;-1.0;0.1691176470588235;1.0;data privacy/liability
119;"L'obligation des FAI de permettre l'auto-hébergement. 1° Tout client ayant soucris à un contrat pour avoir accès à l'Internet à son domicile doit pourvoir héberger des services derrière son routeur.


2° Tout bloquage de port est interdit par le fourniseur d'accès est interdit.


3° Le client doit pouvoir choisir d'obtenir une adresse IP fixe.

Éléments de contexte
Explication de l'article :
Certains fournisseurs d'accès à Internet français ne permettent pas d'héberger derrière sa ""box"" un serveur. Par exemple en bloquant des ports ou en allouant un adresse IP non fixe.


Or un moyen que nous avons aujourd'hui de protéger nos données personnelles c'est l'auto-hébergement. C'est à dire hébgerger chez soi les services dont on a besoin. Les courriels, les calendriers, les contacts, la messagerie instannée... Tout cela peut être installé, ce qui permet de contrôler complétement nos données.


Pour cela, il faut que les fournisseurs d'accès à Internet le permettent.";2015-09-26 16:38:46;20;0;106.0;8.0;5.0;6.0;6.0;-1.0;0.1217391304347826;1.0;internet access
169;"Introduction des éléves à l'économie numérique. Création d'une série de cours expliquant succinctement le fonctionnement de l'économie numérique afin de sensibiliser les jeunes à la protection des données personnelles.

Éléments de contexte
Explication de l'article :
Beaucoup de services en ligne sont gratuits car ils se rémunèrent en utilisant les données fournies par le client. Sensibiliser les élèves leur permettra de comprendre pourquoi un produit est gratuit ou payant sur internet et encouragerai une consommation plus saine de produits numériques.";2015-09-27 09:28:30;48;0;60.0;5.0;12.0;7.0;7.0;0.0204081632653061;0.2727272727272727;1.0;education/data privacy
132;"Article 11.0 - Financement public du logiciel libre. 1° Est créé un établissement public de financement des outils numériques libres, disposant de fonds dédiés


2° Le fonds est alimenté par une contribution des entreprises (type ""1% libre"")


3° Sont prises en compte les demandes de réalisation d'une fonctionnalité logicielle jugée conforme à l'intérêt général


4° L'établissement finance contractuellement le développement logiciel par des communautés libres reconnues ou des pôles universitaires en lien avec l'ANR. Il peut rémunèrer des développeurs salariés mis à disposition de ces partenaires.


5° Par extension l'établissement finance la mise à disposition sur internet des logiciels libres

Éléments de contexte
Explication de l'article :
L'Etat doit contribuer à la production de logiciels libres, au bénéfice des entreprises et des citoyens.
Des partenariats financiers doivent être établis avec les communautés françaises et internationales de développeurs, afin de ne pas faire reposer leur fonctionnement sur des ressources uniquement bénévoles ou privées.";2015-09-26 20:15:46;162;3;402.0;40.0;50.0;16.0;16.0;0.0245398773006134;0.2054176072234763;1.0;intellectual property/digital economy
70;"Article 10 - Procédure assouplie pour les travaux statistiques ou de recherche utilisant le numéro de sécurité sociale (recours à un « NIR statistique »). L’article 27 de la loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés est complété par un IV ainsi rédigé :


« IV. - Le 1° des I et  II du présent article ne sont pas applicables :


« 1° Aux traitements ayant exclusivement des finalités de statistique publique ne comportant aucune des données mentionnées au I de l'article 8 ou à l'article 9, lorsque le numéro d'inscription des personnes au répertoire national d'identification des personnes physiques a préalablement fait l’objet d’une opération cryptographique irréversible  ; ces traitements sont soumis au I de l’article 22.


« Un décret en Conseil d’Etat, pris après avis motivé et publié de la Commission Nationale Informatique et Libertés, définit les modalités d’application du précédent alinéa, notamment les exigences auxquelles doit répondre l’opération cryptographique irréversible et les conditions dans lesquelles le service statistique public peut utiliser le numéro d'inscription des personnes au répertoire national d'identification des personnes physiques, après opération cryptographique irréversible, comme identifiant unique pour l’ensemble des statistiques publiques mentionnées au deuxième alinéa de l’article 1er de la loi n° 51-711 du 17 juin 1951 sur l’obligation, la coordination et le secret en matière de statistiques. »


« 2° Aux traitements ayant exclusivement des finalités de recherche scientifique ou historique et ne comportant aucune des données mentionnées au I de l'article 8 ou à l'article 9, lorsque le numéro d'inscription des personnes au répertoire national d'identification des personnes physiques a préalablement fait l’objet d’un opération cryptographique irréversible propre à chaque projet de recherche ; ces traitements ainsi que ceux ayant comme finalité exclusive de réaliser cette opération cryptographique irréversible sont soumis à l’article 25.


« Un décret en Conseil d’Etat, pris après avis motivé et publié de la Commission Nationale Informatique et Libertés, définit les modalités d’application du précédent alinéa, notamment les exigences auxquelles doit répondre l’opération cryptographique irréversible ainsi que les conditions dans lesquelles celui-ci et, le cas échéant, l’interconnexion de deux fichiers par l’utilisation de l’identifiant qui en est issu, sont assurées par un organisme ou un service distinct des responsables de traitements. »

Éléments de contexte
Explication de l'article :
Objectif : créer une procédure plus souple pour permettre aux travaux de la statistique publique ou de la recherche publique d’utiliser des fichiers comportant le numéro de sécurité sociale.


Explication : Les administrations françaises disposent de nombreux fichiers individuels qu’elles gèrent pour leurs propres besoins (fichiers de l’assurance maladie ou de l’éducation nationale par exemple) et qui sont soumis à la stricte protection prévue par la loi « Informatique et libertés » du 6 janvier 1978. Ces fichiers sont une source d’information très riche pour la statistique publique et pour la recherche, surtout lorsqu’on peut mettre en relation les données que comportent deux fichiers (« appariement » des fichiers). Le seul moyen certain de garantir un appariement exact entre deux fichiers est de recourir au numéro de sécurité sociale (ou NIR – numéro d’identification au répertoire national d’identification des personnes physiques). Or aujourd’hui, le recours au NIR doit être approuvé par un décret en Conseil d’Etat, procédure extrêmement lourde pour les chercheurs, qui en pratique sont dissuadés de poursuivre des travaux utilisant cette méthode.
Pour faciliter un tel usage du NIR dans les travaux de la statistique ou de la recherche publique, l’article crée une nouvelle procédure spécifique permettant de créer un numéro dérivé du NIR (« NIR haché » ou « NIR statistique ») : elle nécessitera l’adoption d’un décret-cadre pour définir ses modalités, puis un régime d’autorisation ou de déclaration à la CNIL (Commission nationale de l’informatique et des libertés), plus réaliste et rapide que celui d’un décret en Conseil d’Etat. Pour la recherche, ce numéro sera spécifique à l’étude, afin d’éviter tout croisement ultérieur de données. Cet assouplissement facilitera considérablement les travaux de recherche français en sciences sociales, tout en maintenant un haut niveau de protection des données personnelles.


Exemple : les données de l’enquête de l’Insee « Budget de famille » pourraient être appariées avec les données de dépenses de soins et de remboursements de l’assurance maladie, afin de connaître de façon plus précise les dépenses de santé par catégorie de ménages et ainsi pouvoir mieux orienter les aides vers ceux qui en ont le plus besoin.";2015-09-26 02:27:57;55;8;410.0;101.0;195.0;20.0;20.0;0.1607142857142857;0.580078125;1.0;data privacy/open data
105;"Activité numérique non-lucrative. Création d'une association par un seul membre fondateur.. Permettre la création d'un association loi 1901 par un seul membre fondateur.

Éléments de contexte
Explication de l'article :
Beaucoup d'activités numériques non-lucratives sont réalisées par une seule
personne et ne peuvent pas entrer dans le cadre d'une Association, malgré leur rôle associatif dans bien des cas.


Exemple : Vous animez
une chaine vidéo, une communauté, une
webradio ou un blog, sans en tirer de revenu, et vous souhaitez lui donner l'équivalent d'un statut associatif.



Actuellement pour ces activités non-lucratives, il manque un statut ou la possibilité de créer
une Association loi 1901, avec
un seul membre fondateur.



Types d'activités :
Site web, développement d'applis, logiciel libre, média numérique, blog, art numérique etc...";2015-09-26 14:28:10;21;0;22.0;9.0;49.0;10.0;11.0;0.0454545454545454;0.5423728813559322;0.9166666666666666;digital economy
86;"Article 26 - Définition d’un cadre de confiance pour le recommandé électronique. I- Le chapitre II du titre Ier du livre Ier de la partie législative du code des postes et communications électroniques, est ainsi modifié :


1° Après le premier alinéa de l’article L. 5-1, il est inséré un alinéa ainsi rédigé :


« L’Autorité de régulation des communications électroniques et des postes délivre une autorisation au prestataire de lettre recommandée électronique satisfaisant aux conditions visées à l’article L.5-11. L’autorisation est délivrée pour une durée de trois ans. Elle est renouvelable. Elle n'est pas cessible. »


2° Il est ajouté un article L. 5-11 ainsi rédigé :


« Sans préjudice des dispositions de l’article 5-2 de l’ordonnance n° 2005-1516 du 8 décembre 2005 relative aux échanges électroniques entre les usagers et les autorités administratives et entre les autorités administratives, la lettre recommandée électronique bénéficie des mêmes effets juridiques que la lettre recommandée postale, papier ou hybride, lorsqu’elle satisfait aux conditions suivantes :


1° La lettre recommandée électronique est distribuée par un prestataire postal disposant d’une autorisation de l'Autorité de régulation des communications électroniques et des postes en vertu de l’article L. 5-1.


2° Le procédé électronique utilisé permet d'identifier le prestataire, de désigner l'expéditeur, de garantir l'identité du destinataire et d'établir si la lettre a été remise ou non au destinataire. Dans le cas où le destinataire n'est pas un professionnel, son accord exprès pour l’utilisation d’un tel procédé doit être recueilli. Les modalités d’application du présent alinéa sont fixées par décret en Conseil d’Etat.


3° La lettre recommandée électronique est distribuée par un prestataire dûment reconnu comme prestataire de service de confiance qualifié pour les services d’envoi recommandé électronique au sens du règlement (UE) n° 910/2014 du Parlement européen et du Conseil du 23 juillet 2014.»


3° L'article L. 5-3 est ainsi modifié :
a) Le premier alinéa est remplacé par les dispositions suivantes : « L'Autorité de régulation des communications électroniques et des postes peut, d'office ou à la demande du ministre chargé des postes, d'une organisation professionnelle, d'une association agréée d'utilisateurs, d'une personne physique ou morale concernée, du prestataire du service universel postal, d'un titulaire de l'autorisation prévue à l'article L. 3 ou d'un titulaire de l'autorisation prévue au deuxième alinéa de l'article L. 5-1, prononcer des sanctions à l'encontre du prestataire du service universel, d'un titulaire de l'autorisation prévue à l'article L. 3 ou d'un titulaire de l'autorisation prévue au deuxième alinéa de l'article L. 5-1. »


b) Au troisième alinéa, les mots : « ou d'un titulaire de l'autorisation prévue à l'article L. 3 » sont remplacés par les mots : « , d'un titulaire de l'autorisation prévue à l'article L. 3 ou d'un titulaire de l'autorisation prévue au deuxième alinéa de l'article L. 5-1 »


c) Le neuvième alinéa est remplacé par les dispositions suivantes : « a) Pour un titulaire de l'autorisation prévue à l'article L.3 ou un titulaire de l'autorisation prévue au deuxième alinéa de l'article L. 5-1 : »


d) Aux quatorzième et quinzième alinéas, les mots : « ou un titulaire de l'autorisation prévue à l'article L. 3 » sont remplacés par les mots : « , un titulaire de l'autorisation prévue à l'article L. 3 ou un titulaire de l'autorisation prévue au deuxième alinéa de l'article L. 5-1 ».

Éléments de contexte
Explication de l'article :
Objectif : Offrir à la lettre recommandée électronique les mêmes garanties et la même reconnaissance que la lettre recommandée papier.


Explication : l’article précise les exigences applicables au recommandé électronique dans le prolongement du règlement européen « eIDAS » ainsi que les modalités de contrôle du respect de ces exigences. Il favorisera le développement des usages en permettant l’utilisation de recommandés sous forme électronique pour tout type d’échanges. Il vise également à renforcer la confiance des utilisateurs en précisant les exigences à respecter par les prestataires du service de recommandé sous forme électronique.


Exemple : un consommateur n’aura plus à passer par un recommandé papier pour résilier un abonnement, alors que l’ensemble des autres démarches avec mon fournisseur peuvent se faire en ligne.";2015-09-26 02:28:03;46;3;335.0;40.0;17.0;10.0;11.0;0.0851063829787234;0.1542553191489361;0.9166666666666666;data privacy/public services
195;"Article 5 - Création d'un compte unique des services administratifs en ligne pour chaque citoyen. L'objectif est d'accélérer la modernisation et la simplification des services de l'administration en France, afin que chaque citoyen puisse rapidement et facilement accèder à l'ensemble des services relatifs à l'emploi, la formation, les aides et allocations, l'imposition.

Éléments de contexte
Explication de l'article :
Sur le modèle du compte service public, chaque contribuable aurait accès à un compte unique dans lequels tous ses droits, toutes les démarches administratives, les contacts avec l'administration seraient regroupés et mutalisés. Sans être exhaustif, les services suivant pourraient être disponibles
 :


- impôts (IR, taxe foncière, taxe d'habitation, ISF, etc.)


- retraite


- compte personnel de formation (CPF)


- pôle emploi


- compte assurance maladie


- allocations familiales, RSA, APL


- démarches de création d'entreprise (déclaration aux impôts des entreprises, au greffe du tribunal)


- inscription sur les listes électorales






Dans un premier temps, ce compte peut être mis en place sur la base du volontariat. Sa généralisation serait possible par la suite.";2015-09-27 18:34:50;88;1;514.0;41.0;65.0;20.0;18.0;0.0224719101123595;0.1924460431654676;0.9047619047619048;liability/public services
64;"Article 4 - Création d’un service public de la donnée (garantie de qualité des données publiques de référence). La mise à disposition et la diffusion publique des données de référence en vue de faciliter leur réutilisation constituent une mission de service public relevant de l’Etat. Toutes les autorités administratives concourent à cette mission.


Sont des données de référence les données produites ou reçues par les administrations mentionnées à l'article 1er de la loi du 17 juillet 1978 qui font l'objet ou sont susceptibles de faire l’objet d'une utilisation fréquente par un grand nombre d’acteurs tant publics que privés et dont la qualité, en termes notamment de précision, de fréquence de mise à jour ou d’accessibilité, est essentielle pour ces utilisations. Un décret fixe la liste des données de référence et désigne les administrations responsables de leur production et de leur diffusion.


Les modalités d’application du présent article sont définies par un décret en Conseil d’Etat. Dans l’hypothèse où plusieurs administrations sont responsables, le décret détermine les modalités de la coordination entre ces administrations. Il fixe la qualité minimale que la diffusion publique des données de référence doit respecter, notamment en termes de précision, de degré de détail, de fréquence de mise à jour, d’accessibilité et de format. Il précise les modalités de participation des collectivités territoriales à la mise à disposition et à la diffusion publique des données de référence.

Éléments de contexte
Explication de l'article :
Objectif : Confier à l’Etat une nouvelle mission de « service public de la donnée » pour garantir la qualité des principales bases de données publiques.


Explication : certaines bases de données publiques fondamentales ont été développées à l’origine pour une mission de service public précise. Mais elles ont aujourd’hui de multiples autres usages, dans tous les secteurs de la société. Plusieurs initiatives ont déjà été développées pour rendre facilement accessible au public ces données qu’on peut qualifier de « données de référence » (création du géoportail de l’IGN par exemple). Pour reconnaître ce phénomène majeur, l’article crée une nouvelle mission de service public confiée à l’Etat, consistant à garantir la bonne diffusion de ces données en vue de faciliter leurs réutilisations. Seront ensuite fixées par décret la liste des bases de données couvertes par cette nouvelle mission de service public (qui pourraient être notamment la Base adresse nationale, le cadastre, le référentiel cartographique à grande échelle de l’IGN, la base SIRENE des entreprises de l’INSEE), ainsi que la coordination entre les organismes qui produisent ou diffusent ces données, et le niveau minimal de qualité à respecter (notamment sur la précision, la fréquence de mise à jour ou de disponibilité). D’autres pays comme le Danemark ont également défini ces bases de données de référence dans le cadre de leur politique d’open data.


Exemple : la Base nationale des adresses (qui associe à chaque adresse postale ses coordonnées GPS)a été développée à l’origine par la Poste pour la distribution du courrier. Elle est cependant devenue cruciale aujourd’hui pour l’activité du SAMU, des pompiers, des services privés de livraison en ligne, etc.";2015-09-26 02:27:55;151;14;797.0;66.0;29.0;20.0;18.0;0.0986842105263157;0.1111111111111111;0.9047619047619048;open data/public services
