proposal_id;proposal_text;creation_datetime;nb_entailed_proposals;nb_contradictory_proposals;nb_votes_for;nb_votes_mixed;nb_votes_against;nb_args_for;nb_args_against;controversiality_nli;controversiality_votes;controversiality_args;label
479;"Article 22 : Une attaque directe du modèle économique de certaines entreprises du numérique. Je propose de supprimer l'article 22.

Éléments de contexte
Explication de l'article :

	L’analyse automatique et « anonyme » des données contenues dans les emails est au cœur du modèle économique de certaines entreprises du net. Elles fournissent un service gratuit et performant de communication en ligne, en contrepartie elles se rémunèrent en faisant filtrer les données par des algorithmes.
	Les entreprises du numérique se servent de l’analyse automatique des correspondances pour adapter leurs offres à leurs clients : cette pratique bénéficie donc directement aux utilisateurs, qui profitent de propositions mieux ciblées à leur égard.
	Une législation au niveau national n’a pas de sens : si la France adopte des mesures de garantie de la confidentialité des correspondances, tous les opérateurs nationaux et internationaux devraient adopter les mêmes standards – sauf à se retrouver isolée, ce qui rendrait la législation inoérante. Des solutions « volontaires » prises par accord entre les différents opérateurs seraient peut-être plus judicieuses.";2015-10-08 15:32:37;54;48;0.0;2.0;8.0;0.0;1.0;0.8909090909090909;-1.0;-1.0;DRP/data privacy/digital economy
286;"L'Absence d'accès de Connexion ou d'adhésion aux Internets est Opposable. Il ne peut pas être opposé à la personne de ne pas avoir d'accès, de connexion et ou d'ahésion aux internets.

Éléments de contexte
Explication de l'article :";2015-09-29 10:43:47;25;20;17.0;3.0;4.0;2.0;1.0;0.8076923076923077;0.38095238095238093;-1.0;DRP/internet access
202;"Mise à disposition des productions multimédia créées par les sociétés détenues par l’État. Les productions multimédia (vidéos, audio, logos …) des sociétés détenues par l'État (Radio France, France Télévisions) sont libres d'utilisation, de visionnage, d'exploitation et de post-traitement sans autorisation préalable et sans coût associé.

Éléments de contexte
Explication de l'article :
Les sociétés pré-citées étant soutenues par l'argent publique, leurs créations devraient être libres d'utilisation par les citoyens.


Problème : peu ou pas d'emission sont produites exclusivement par ces sociétés d'État. Ce sont souvent des coproduction ou simplement des achats de droits de diffusion à des sociétés de production
privées.






EDIT : possible doublon avec
https://www.republique-numerique.fr/consultations/projet-de-loi-numerique/consultation/consultation/opinions/section-1-les-communs/article-8-definition-du-domaine-commun-informationnel/versions/mettre-les-medias-produit-par-de-l-argent-public-dans-les-communs";2015-09-27 20:14:31;58;83;15.0;7.0;7.0;0.0;0.0;0.7023809523809523;0.6521739130434783;-1.0;DRP/intellectual property
300;"Qu'en est-il à propos du régime de responsabilité délictuelle des plateformes en ligne?. Les plateformes en ligne bénéficient majoritairement du régime de responsabilité applicable aux hébergeurs, et ce notamment depuis les arrêts Google de la CJUE du 23 mars 2010. Or la qualification d'hébergeur attribuée aux plateformes est contestée. D'ailleurs, toutes les plateformes en ligne ne reçoivent pas la qualification d'hébergeur, les juges tant européen que français refusent d'accorder la qualité d'hébergeur à eBay, alors que ce site à une activité qui correspond à celle de la définition des plateformes en ligne.


Les articles relatifs à la loyauté des plateformes proposés s'inspirent largement du rapport du Conseil d'Etat de 2014 sur Le numérique et les droits fondamentaux, mais qu'en est-il de la proposition faite dans ce rapport de créer une nouvelle catégorie juridique à côté de celle d'éditeur et de prestataires techniques, idée qui a été reprise par Fleur Pellerin (http://www.lesechos.fr/28/01/2015/lesechos.fr/0204115837880_fleur-pellerin----la-situation-actuelle-de-l-audiovisuel-n-est-pas-un-bon-statu-quo-.htm ) ?

Éléments de contexte
Explication de l'article :";2015-09-29 14:21:50;39;27;12.0;7.0;7.0;1.0;2.0;0.7;0.75;-1.0;DRP/platforms/liability
497;"Propriété Littéraire et Propriété Scientifique. Concernant l'article 8 de cette section, il est prévu d’introduire une définition positive du «domaine commun informationnel » comprenant notamment les œuvres tombées dans le domaine public. La rédaction ne prend pas en compte la réalité des droits en cause, dans le domaine Littéraire et Artistique dont je dépends.



Par ailleurs, dans ce même cadre, je trouve extrêmement dangereux d'inscrire formellement dans la loi les dispositifs de renonciation par des créateurs à leur droit de propriété intellectuelle. C'est ne pas tenir compte des pressions énormes que le Créateur, personne physique facilement corvéable, subit dans un environnement de groupes, de plateformes, d'industries extrêmement puissantes. Cela ouvrirait la porte à des pratiques dévastatrices dans notre domaine.


D'autant que des dispositifs volontaires et optionnels, du type des Creative Commons, existent déjà (que la Sacem inclut d'ailleurs depuis un certain temps dans ses dispositions en matière de dépôt d’œuvre). Il est d'ailleurs intéressant de constater statistiquement que leur  caractère irréversible explique le très faible nombre d’œuvres déposées sous ce régime par des sociétaires. 


D'une manière générale, je me réjouis qu'une Loi spécifique au numérique puisse préciser, affirmer, induire et encadrer positivement des comportement nouveaux dans les capacitès du numérique. 


Je déplore cependant que notre domaine du Littéraire et Artistique, certainement perfectible sur quelques points, devienne  par amalgame l'otage du retard des institutions en matière de comportements dans  les domaines scientifiques et industriels, et induise par amalgame des deux des régression significatives dans un domaine  qui marche parfaitement bien dans son ensemble.


L'innovation, qui est au centre de vos préoccupations et je m'en réjouis, aurait été d'induire de vos travaux, parallèlement au Code de la Propriété Littéraire et Artistique existant,  un code distinct concernant la Propriété Scientifique et industrielle et la Communication, répondant aux besoins réels et soécifiques de ce secteur.

Éléments de contexte
Explication de l'article :";2015-10-09 15:54:43;38;26;7.0;10.0;0.0;0.0;0.0;0.6923076923076923;0.6111111111111112;-1.0;DRP/intellectual property/open science
135;"Réduire la durée de conservation des données de connexion. I.- Au III de l'article L.34-1 du Code des postes et communications électroniques, les mots ""durée maximale d'un an"" sont remplacés par les mots ""durée maximale de trois mois"".


II.- Au II de l'article 6 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, après les mots ""détiennent et conservent"" sont ajoutés les mots "", pour une durée maximale de trois mois"".

Éléments de contexte
Explication de l'article :
Après les attentats de 2001 aux Etats-Unis, la France s'est dotée d'un régime de conservation des données de connexion par les divers acteurs de l'internet, fournisseur d'accès à l'internet et hébergeurs. Le texte a fixé à un an, la durée de conservation de toutes les traces informatiques laissées par les internautes sur le Web.



De son côté, les juges européens ont considéré que le régime de conservation des données - et notamment cette conservation extensive - était contraire aux principes fondateurs du droit européen et notamment contraire à la charte des droits fondamentaux de l'Union européenne à laquelle la France a adhéré.



Le présent article a pour objet de mettre en conformité le droit français aux principes fondateurs du droit européen en réduisant la durée de conservation de 12 mois à 3 mois.";2015-09-26 21:07:28;29;43;77.0;0.0;3.0;5.0;3.0;0.6818181818181818;0.05128205128205128;-1.0;data privacy
281;"Instaurer le principe de propriété individuelle des données numériques personnelles en référence à la constitution et aux ""Droits de l'Homme"". Fonder l'ensemble des articles liés aux données personnelles sur ce principe au nom de la Citoyenneté Responsable.  L'appliquer en associant à l'authentification personnelle France Connect un tableau de bord des données personnelles où tout utilisateur d'une donnée personnelle doit référencer son fichier. La personne pourra supprimer directement les données de son choix hors obligation juridique et legale de partage ( notamment administratif).


 


 

Éléments de contexte
Explication de l'article :
Les ""droits de l'homme"" doivent rester fondateurs des droits de l'avatar Numerique.



Si on accepte l'argument d'impossibilité technique et notamment sur l'application rétroactive, on accepte que 
la
technologie prime sur
l'humain. Toute citoyenneté responsable devient alors impossible.";2015-09-29 09:13:54;64;43;14.0;0.0;1.0;0.0;1.0;0.676923076923077;-1.0;-1.0;data privacy
478;"Article 13 Définition des « plateformes » pas adaptée. Je suggère de supprimer la section 3 « Loyauté des plateformes »

Éléments de contexte
Explication de l'article :

	La définition des plateformes est très englobante et regroupe à la fois les moteurs de recherche, les comparateurs de prix, les réseaux sociaux, etc. Ceux-ci ont des logiques, des usages, des stratégies commerciales et des publics variés. Certaines sont des géants du net, d’autres des start-ups. Il y a donc un risque économique et juridique à appliquer une règle unique à des situations très diverses. De plus, certaines marketplace incluses dans la définition des plateformes ont évidemment des relations contractuelles privilégiées avec leurs fournisseurs, il est logique qu’elles n’aient pas envie de les révéler.
	La définition de « plateforme » est également trop étroite si l’on considère d’autres entreprises qui fonctionnent sur le même modèle que les plateformes mais ne sont pas considérées comme « plateformes » par la loi
(box TV, téléphonie) : la loi crée des inégalités entre acteurs.";2015-10-08 15:30:03;33;21;0.0;1.0;2.0;0.0;0.0;0.6470588235294118;-1.0;-1.0;DRP/platforms
634;"Article 13 bis - Principe de loyauté des plateformes dans le cadre de leurs relations B to B. Article 13 bis - Principe de loyauté des plateformes dans le cadre de leurs relations Business to Business



Sont qualifiées de plateformes dominantes, les plateformes qui exercent une influence déterminante sur un marché donné.

Toute plateforme en ligne dominante est tenue à une obligation générale de loyauté envers les utilisateurs, non professionnels ou professionnels, notamment en ne favorisant pas ses propres services ou les services d’autres entités qu’elle contrôle directement ou indirectement.


Aucune plateforme en ligne ne peut obliger un tiers proposant des solutions logicielles ou des appareils de communications électroniques, à utiliser, de façon exclusive, ladite plateforme en vue d’accéder à un service en ligne.

L’Autorité administrative veille au respect de  l’application des obligations définies au présent article. 
 

Éléments de contexte
Explication de l'article :
Le principe de loyauté ne saurait être pleinement effectif si l’on se limite à sa portée actuelle, trop étroite

Dans le cadre de l’article 13, les plateformes se retrouvent sans distinction soumises aux mêmes obligations en matière de loyauté à l’égard des consommateurs. Cette disposition a pour but de permettre aux consommateurs de prendre des décisions plus avisées.


Or premièrement, certaines plateformes sont privilégiées par ces derniers qui les utilisent pour trouver d’autres plateformes en ligne (ces plateformes tiennent un rôle de «gatekeeper » vers l’accès à d’autres contenus). C’est le cas notamment des moteurs de recherche. Ainsi, dès lors que l’un de ces moteurs de recherche se trouve en situation de position dominante, du fait de sa capacité à capter la quasi intégralité du trafic, la plateforme dispose d’une emprise sur le reste des autres plateformes. Cette emprise peut, en cas de comportement déloyal de la part de la plateforme dominante vis-à-vis des autres plateformes, porter
 gravement atteinte à la dynamique et au pluralisme du secteur digital. Considérant qu’Internet est un moyen majeur au service de la réalisation de la liberté de communication, toute situation de domination d’un acteur lui permettant de gérer en amont ou en aval les flux d’information doit être régulée a priori afin de préserver les conditions du pluralisme.
Par conséquent, il apparaît nécessaire de faire état de ces plateformes dominantes afin de pouvoir les contraindre légalement à respecter plus d’impératifs en matière de loyauté. Car
 un biais d’information subsiste du fait qu’il restera possible aux plateformes à effet structurant sur l’économie de se comporter de façon déloyale dans le cadre de leurs relations B2B à l’égard des autres plateformes : éviction du service par des modifications unilatérales des conditions d’utilisation, captation de la valeur par imposition de conditions léonines pour l’accès à la plateforme, arrêt brutal et sans préavis d’une application lorsque la plateforme veut internaliser le service , modifications de l’algorithme pour pénaliser la visibilité du concurrent, ne sont que quelques exemples des types de pratiques déloyales qui peuvent avoir lieu au cours de relations B2B entre plateformes en ligne.
 Aussi, tous ces comportements déloyaux sont-ils une désincitation flagrante à l’entrée sur le marché de nouveaux acteurs qui pourraient être plus favorables aux consommateurs.
Et quand bien mêmes ce type d’acteurs est déjà présent sur le marché, rien dans la présente loi, n’interdit aux plateformes dominantes de les pénaliser en leur faisant délibérément perdre de la visibilité, trompant ainsi les consommateurs sur la qualité des résultats qu’ils obtiennent.
Cela est d’autant plus alarmant que grâce à cette loi, les plateformes dominantes jouiraient d’une présomption de loyauté injustifiée de la part des consommateurs, qui verraient en définitive leur condition dégradée et leur avis biaisé.
Pour toutes ces raisons, on peut raisonnablement dire que le fait de soumettre les plateformes en lignes aux impératifs de loyauté évoqués à l’alinéa 2 du présent article est insuffisant, puisque même s’il oblige les plateformes à informer le consommateur au sujet des relations entretenues avec ses partenaires, il ne leur interdit pas pour autant de pénaliser d’autres acteur en ayant recours à des pratiques déloyales.

Interdire les accords d’exclusivité entre une plateforme en ligne et les fournisseurs de solutions logicielles.

Il convient aussi de considérer les limitations à apporter aux relations B2B entre les plateformes et des entreprises tierces et qui sont susceptible de nuire à plusieurs principes constitutionnels tels que celui de la liberté de choix des utilisateurs ou de la préservation du pluralisme. Les accords d’exclusivité que l’on entend interdire sont ceux qui obligeraient des opérateurs offrant des solutions logicielles ou des appareils de communication électronique de type smartphone, tablette ou ordinateur personnel, à intégrer de façon exclusive la fonctionnalité de la plateforme en ligne.
Cette proposition fait écho aux multiples accusations d’abus position dominante dont la plateforme en ligne Google est la cible.
 Précisément, la firme californienne est accusée de favoriser son service de moteur de recherche sur les terminaux pour smartphone Android. Elle a même été condamnée le 14 Septembre 2015 par le service fédéral anti monopole Russe pour avoir violé les règles de concurrence.

Dès lors il est indispensable d’imposer une régulation ex ante qui puisse être susceptible de dissuader les plateformes de distordre la concurrence avec ce type de pratiques.


Car être la seule porte d’entrée - ou quasiment – permettant l’accès à une cible, confère un pouvoir immense de commercialisation de la publicité et des données. Cette logique d’exclusivité revient donc à consolider une position dominante préalablement acquise, au détriment du pluralisme et de la liberté d’entreprendre, et doit donc être prohibée.";2015-10-15 15:31:10;76;48;6.0;2.0;0.0;0.0;0.0;0.6363636363636364;-1.0;-1.0;DRP/platforms/liability/digital economy
464;"Analyses automatisées et anonymisées des correspondances : acceptation conditionnée. 1/ Dans sa rédaction actuelle, le texte pose d’abord une contradiction rédactionnelle.


Il énonce un principe : « tout traitement automatisé d’analyse du contenu de la correspondance en ligne ou des documents joints à celle-ci constitue une atteinte au secret des correspondances » et une exception « sauf lorsque ce traitement a pour fonction l’affichage, le tri ou l’acheminement de ces correspondances, ou la détection de contenus non sollicités ou malveillants. ». Ainsi, le traitement automatisé d’analyse du contenu constituerait une atteinte au secret des correspondances mais, dans le même temps, est admise dès lors qu'elle est nécessaire techniquement.


2/ ​L’analyse du contenu des messages ne remet pas en cause la confidentialité de ces derniers, qui demeure garantie (anonymat statistique). L’éditeur ne prend pas connaissance du message mais utilise un algorithme qui traite de façon automatique et objective les mots qu’il contient. Concrètement, aucun humain ne lit les messages. La sanction de l’analyse du contenu des messages n’a donc pas de fondement.


 

Éléments de contexte
Explication de l'article :
L’analyse du contenu du
message relève du droit au respect des données personnelles et
doit déjà répondre au régime du traitement des données à caractère personnel, et elle doit être licite, loyale et consentie.";2015-10-07 21:35:23;37;59;2.0;1.0;1.0;0.0;0.0;0.6333333333333333;-1.0;-1.0;DRP/data privacy
