proposal_id;proposal_text;creation_datetime;nb_entailed_proposals;nb_contradictory_proposals;nb_votes_for;nb_votes_mixed;nb_votes_against;nb_args_for;nb_args_against;controversiality_nli;controversiality_votes;controversiality_args;label
696;"Financement d'un Revenu Universel de Base pour compenser ""l'uberisation"" généralisée. Financement d'un Revenu Universel de Base par la mise en place d'une MICRO taxe sur chaque paiement d'achat ou de service effectué sur internet.


 

Éléments de contexte
Explication de l'article :
Il arrive que le progrès
détruise plus d'emplois qu'il n'en crée. Il en est ainsi de la progession du numérique, de l'impression 3D et de "" l'uberisation"" dans de nombreuses professions et services. Le statut d'auto-enrepreneur a largement contribué à cette situation préoccupante, officialisant une partie du secteur informel tout en destabilisant certaines professions.


Il serait utopique de vouloir contrôler ou empêcher cette progression du numérique. Plus rien ne peut
arrêter désormais cette nouvelle Révolution Industrielle et Commerciale.


Pour compenser les baisses de revenus, voir les pertes d'emplois, et éviter un apauvrissement généralisé de la population

la solution consiste donc à mettre en place un Revenu Universel de Base
versé à chaque citoyen, sans conditions de ressources, de sa majorité à sa mort. Cette somme devrait
permettre à chacun
de vivre décemment, sans aucune contrepartie. Elle viendrait remplacer
le millefeuille d'aides sociales et d'allocations
et pourrait se cummuler avec les revenus du travail et les rentes. Chacun pourra se consacrer à son projet, mener à bien une idée, créer une entreprise, donner son temps aux autres, travailler à mi-temps ou cumuler plusieurs activités professionnelles.


Afin de financer ce Revenu Universel de Base, une MICRO
taxe pourrait être prélevée sur chaque paiement d'achat ou de service effectué
sur
internet";2015-10-17 11:17:01;20;2;7.0;2.0;7.0;0.0;2.0;0.1428571428571428;1.0;-1.0;digital economy
404;"Armaggedopi. Dans un article quelconque du code de la propriété intellectuelle est inséré l'alinéa rédigé comme suit:


""Armaaaaaaaaaaaaaaaaaggedonnnnnnnnnnnnnnnnnnn !""

Éléments de contexte
Explication de l'article :
Le coût total de la flibuste de biens culturels en France est estimé, d'après les dernières études sérieuses produites par les SPRD, à 99,42% du produit intérieur brut mondial. Oh ! Combien d'ayant-droits, combien de capitaines d'industries culturelles, qui sont partis joyeux pour des bourses lointaines, dans ce morne Internet se sont évanouis ? On ne compte plus ceux qui, honnêtes négociants devenus mendiants sans le sou, leur manteau piqué de mille trous, hantent les couloirs du Ministère de la Culture pour quémander, qui un règlement, qui une taxe (assez justement prélevée sur le dos d'autres secteurs d'activité, ayant eu, eux, la vulgarité d'innover un tant soit peu s'agissant de business model, les canailles).


Bien sûr, avec la Hadopi, le législateur a fait montre de bonnes intentions mais, las, promotion de l'offre légale et riposte graduée sont à l'ordre culturel ce que Pascal Obispo est à l'art lyrique. Je ne développerai pas davantage sur l'absurdité de la première prérogative - la promotion de l'offre légale - tant elle crève les yeux, pour me focaliser sur la seconde : la riposte graduée. C'était à l'évidence une belle idée. Malheureusement et en l'espèce, les pirates, fripouilles et autres assassins cagoulés ont découvert divers moyens de contourner l'autorité et de mépriser la splendeur aveuglante de la puissance publique. Ils s'en vont en effet surfer - comme ils disent, sur les sites de squouimmïngues et autres torrents de bits pair-à-pair, en abusant de la connexion d'un voisin, d'une cousine ou d'un ami serviables et conséquemment complices, à leur insu le plus souvent.


Il nous faut donc agir avec la plus grande détermination, appliquer une empreinte digitale avec la plus grande fermeté.


La présente proposition vise ainsi à ce que les routeurs, box et autres modems fournis par les opérateurs de services de communications électroniques soient équipés de générateurs magnéto-cumulatifs, à même de produire des impulsions électromagnétiques de forte amplitude, dispositifs qu'il conviendra de coupler à un système de commande à distance. Les interactions électromagnétiques ainsi produites, sur commande des ayant-droits, permettront de neutraliser de manière définitive l'ensemble des terminaux électroniques à portée du dispositif de routage (ainsi que le dispositif lui-même), non seulement du pillard contrevenant, mais aussi des acolytes et voisins qui auraient pu lui porter secours ou assistance.";2015-10-03 16:29:17;58;21;7.0;3.0;7.0;0.0;2.0;0.3728813559322034;1.0;-1.0;intellectual property
125;"Défaillance d'un opérateur ou tout ou partie d'un réseau. Comment traiter une demande faite numériquement lors d'évènements accidentels, de catastrophe ou de modification profonde du paysage numérique sans que cela soit préjudiciable à l'usager ?

Éléments de contexte
Explication de l'article :
L'usager, ne risque t-il pas d'être mal pris en charge lors d'une urgence médicale dès lors que sa demande n'est pas certaine d'avoir été prise en compte : y a t-il un système de secours (un plan B) ?";2015-09-26 17:35:12;6;2;9.0;32.0;11.0;6.0;4.0;-1.0;0.9545454545454546;0.7142857142857143;internet access
215;"Plus de souplesse encore en présence d'un CIL. Le projet, même s'il élimine le besoin du décret en Conseil d'Etat, maintient le régime de demande d'autorisation auprès de la CNIL pour des finalités de recherche scientifique ou historique, ce qui reste une procédure longue et avec une très faible ""prédictibilité"" (sans compter la charge que ces dossiers font peser sur l'Autorité de contrôle).


Pourquoi ne pas aller plus loin - sans abaisser le niveau de protection - en permettant aux responsables de traitement qui ont désigné un Correspondant Informatique et Libertés que le traitement soit porté au registre de ce dernier, sous l'obligation de la réalisation d'une analyse de risque et une analyse d’impact pour les personnes concernées (avec endossement des risques résiduels par le responsable de traitement). Cette analyse serait tenue à disposition de la CNIL, sur simple demande. L'analyse permettrait de formaliser tous les points permettant de sécuriser le traitement (présence d'un contrat de recherche, engagement de confidentialité avec alerte en cas de ré-identification accidentelle, obligation de purge des données à l'issuer de la recherche, etc.).


Par ailleurs, le décret d'application, concernant le procédé de ""hash"" (opération cryptographique irréversible), devrait faire référence à l'état de l'art (qui pourrait émaner de l'ANSSI, du service d'expertise technique de la CNIL et/ou du G29/du futur Comité européen de protection des données). Il conviendrait d'imposer un sel et de préciser que la gestion et la protection de celui-ci soit réalisée par un dispositif dédié.

Éléments de contexte
Explication de l'article :
La CNIL pourrait utiliser ses pouvoirs de contrôles (sur place, sur pièce et par audition) pour veiller au respect de cette disposition.";2015-09-28 06:04:09;22;1;24.0;17.0;22.0;3.0;3.0;0.0869565217391304;0.9523809523809524;-1.0;data privacy/open data
242;"Interdiction du croisement des données. Il est interdit de croiser les données personnelles entre plusieurs responsables de traitement distincts. Il est interdit d'envoyer un courriel ou toute communication électronique faisant mention d'une activité en ligne sans avoir la certitude absolue que ladite activité ait été effectuée par le propriétaire de l'adresse courriel ou du terminal électronique.

Éléments de contexte
Explication de l'article :
Une pratique actuelle en développement, et tout à fait insupportable, appelée ""email retargeting"" consiste pour un e-commerçant à transmettre en temps réel à une plateforme tierce l'adresse IP (reconnue par la CNIL comme donnée personnelle) de ses visiteurs de manière à ce qu'elle soit croisée avec des megabases d'adresses courriel. Ainsi, un visiteur d'un site e-commerce peut, sans jamais y avoir laissé ses coordonnées recevoir un e-mail de relance envoyé par une société tierce lui indiquant les produits vus. Il est à noter, de plus, que cette pratique n'est pas fiable et peut être embarrassante pour le visiteur, un ordinateur étant souvent partagé par plusieurs utilisateurs. Un site e-commerce pourra, par exemple, envoyer un e-mail de relance à un client s'il a navigué en étant connecté à son compte, mais ne pourra le faire uniquement sur un croisement de l'adresse IP ou la présence d'un cookie.";2015-09-28 13:59:44;73;18;9.0;3.0;8.0;1.0;3.0;0.2567567567567567;0.9230769230769232;-1.0;data privacy
377;"Classements de la cour des comptes. La cour des compte devra publier sur son site internet lors de la remise de son rapport annuel un classement exploitable et exhaustifs des décision politiques auyant entrainé des pertes financières conséquentes ( en % du budget géré par entités (communes, département, région, Etat)


Un classement ouvrant la voie à une récompense aux meilleurs et une publication en pleine page sur les quotidien nationneaux pour les pire.

Éléments de contexte
Explication de l'article :
Nous avons un formidable outil de contrôle citoyen qu'est la cour des comptes.


Il serait temps de la rendre digeste et intelligible en permettant un classement (TOP 100 ?) des pires decisions prise en termes financiers ET qui les a voté et mise en application.


En effet seule la réputation est importante aux yeux de nos élus puique AUCUNE santions n'est prise ne cas de dérapage financiers.";2015-10-01 15:49:34;39;0;8.0;4.0;7.0;2.0;3.0;0.025;0.9230769230769232;-1.0;open data
440;"Réseaux sociaux de l'État / réseaux sociaux publics. L'État garantit l'accès à un ensemble de services publics de type « réseau social ». Ces services permettent la diffusion de textes, d'images fixes, de vidéos et de sons dans le respect du droit français.
Toute information saisie par les utilisateur est considérée privée par défaut et la confidentialité de toute donnée est garantie jusqu'à ce que le propriétaire (c'est à dire l'utilisateur) choisisse de la rendre publique.


Ces services sociaux de l'État offrent et garantissent l'accès à des informations utiles relatives au droit français. Ils permettent et garantissent aussi la mise en relation avec des services publics utiles tels que : sécurité sociale, aide juridique, police.

Éléments de contexte
Explication de l'article :
L'État devrait proposer un ou des services alternatifs aux réseaux sociaux privés (Facebook, Twitter etc.). Ceci afin de garantir :


- une utilisation sans publicité
- une certaine pérennité des services
- la maitrise et la confidentialité des données personnelles et privées
- une administration et une modération respectueuses du droit français (p. ex. pour le respect de la liberté d'expression) et libre vis à vis des dispositions de lois hors France ou hors CEE.
- que les données ne soient pas utilisées à d'autres fins que le bon fonctionnement du service : développement marketing, publicitaire, étude à des fins politiques etc.
- qu'aucun algorithme de tri ou de diffusion sélective des messages selon les profils d'utilisateurs ne soit utilisé (équité des informations et des services)


Ces réseaux sociaux de l'État pourraient en outre proposer une liaison directe, confidentielle et sécurisée avec des services utiles de l'État (administration fiscale, sécurité sociale, aide juridique, police etc.).
Ils pourraient également offrir un accès facilité (p. ex. par abonnement à une lettre de diffusion ou par l'activation d'une option de service) à des informations importantes (nouvelles lois, échéances électorales, fiscales etc.).


Une bonne visibilité de ces fonctionnalités favoriserait l'intérêt pour ces « réseaux sociaux publics » et ses valeurs ajoutées.";2015-10-06 11:39:41;162;2;6.0;3.0;7.0;3.0;2.0;0.0184049079754601;0.9090909090909092;-1.0;internet access/data privacy
477;"Obligation de la présence de l'extension .xxx pour les sites publiant des contenus érotiques ou pornographiques. Le filtrage parental étant souvent désué pour les images/pubs et films à caractère érotique/pornographiqe. Mettre un caractère légal à la diffusion de genre de contenu pourrait enrayé leur prolifération grace à un filtrage navigateur directement sur le nom DNS.


Par exemple : obliger les sites exposant ce genre de contenu à possèder l'extension .xxx

Éléments de contexte
Explication de l'article :";2015-10-08 14:30:29;34;0;15.0;2.0;17.0;1.0;4.0;0.0285714285714285;0.9;-1.0;parental control
366;"Chercher à décrypter un contenu crypté est un délit. Une entité privée ou publique qui chercherait à décrypter un contenu numérique crypté sans:
1- l'aval d'un juge
2- avoir préalablement informé la victime de cette violation de confidentialité
est punissable par la loi
Éléments de contexte
Explication de l'article :
parce que les HTTPS c'est pas que pour faire beau!";2015-10-01 09:06:46;32;8;16.0;7.0;19.0;0.0;6.0;0.2727272727272727;0.8888888888888888;-1.0;data privacy/cybersecurity
91;"Ecole entreprise Réunion. Mettre en place dés la seconde des séances de découverte et de perfectionnement au numérique au sein des établissements, sous forme d'ateliers gérés par les référents numériques 

Éléments de contexte
Explication de l'article :";2015-09-26 11:27:25;35;0;189.0;191.0;146.0;22.0;29.0;0.0277777777777777;0.8871391076115486;0.7666666666666667;education
