proposal_id,proposal_text,creation_datetime,nb_entailed_proposals,nb_contradictory_proposals,nb_votes_for,nb_votes_mixed,nb_votes_against,nb_args_for,nb_args_against,controversiality_nli,controversiality_votes,controversiality_args
3d0d69e9-e908-11e9-adee-0242ac110003,"Prendre en compte le fait d'avoir des enfants à charge. Le fait d’avoir des enfants peut entraîner des dépenses supplémentaires. Aujourd’hui, certaines prestations comme le revenu de solidarité active (RSA) tiennent compte de cette situation et sont augmentées lorsque le foyer a des enfants à charge. Le Revenu universel d’activité pourrait reprendre cette logique.",2019-10-07 15:42:00,18,62,967,129,282,139,84,0.30158730158730157,0.37556973564266183,0.6071428571428571
2fbf1d46-e908-11e9-adee-0242ac110003,"Prendre en compte les revenus de tout le foyer. Le fait de vivre en couple ou à plusieurs permet à une famille de faire des économies d’échelle sur certaines dépenses, par exemple en matière de loyer. C’est pourquoi aujourd’hui, notre modèle de prestations sociales, comme notre modèle fiscal, reposent sur une logique de foyers et tous les revenus du foyer sont pris en compte, même si c’est parfois à des degrés divers, comme pour l’AAH par exemple."" Le Revenu universel d’activité pourrait reprendre cette logique. Il pourrait à l’inverse être versé individuellement à chaque personne sans tenir compte d’économies d’échelles dans les dépenses afin de favoriser son autonomie voire même sans prendre en compte les revenus du conjoint par exemple. Cela pourrait être moins intrusif dans la vie privée mais conduirait à aider davantage un couple qu’une personne seule.  """,2019-10-07 15:41:00,0,41,733,216,817,186,254,0.023809523809523808,0.9187620889748549,0.7333333333333333
465b67cb-0be9-11ea-ac8c-0242ac110002,"En mesure d'accompagnement, permettre à chacun de convertir en en € son compte personnel formation. Y compris pour les retraités qui n'ont pas pu / été autorisés à l'employer avant leur retraite. Permettre en alternative de le transférer sans frais à un compagnon même non cohabitant ou pacsé, conjoint ou enfant(s)",2019-11-20 23:58:00,14,68,1,0,0,0,0,0.21739130434782608,-1.0,-1.0
cef050a3-0be8-11ea-ac8c-0242ac110002,"Majorer les montants en fonction de l'éloignement des centres de formation. Frais de trajets, d'hébergement, de repas",2019-11-20 23:55:00,9,89,1,0,0,0,0,0.1111111111111111,-1.0,-1.0
547f14ff-0be8-11ea-ac8c-0242ac110002,"Permettre à chacun de choisir son projet professionnel sur plusieurs annéess. Ce projet peut inclure de longues périodes de formation, année(s) sabbatique(s), période à l'étranger pour se former dont langues, père ou mère au foyer",2019-11-20 23:51:00,14,65,1,0,0,1,0,0.22727272727272727,-1.0,-1.0
e5d2a840-0be7-11ea-ac8c-0242ac110002,"Expérimenter sur 3 régions et diffuser les résultats. Expérimenter sur 3 régions dont Rhône-Alpes-Auv(conditions, modalités, financement) et diffuser les résultats",2019-11-20 23:48:00,8,57,1,0,0,0,0,0.15517241379310345,-1.0,-1.0
e9c9349c-0b9b-11ea-ac8c-0242ac110002,"Pourquoi les employeurs continuent-ils à reçevoir des aides avec l'argent de nos impôts sans contreparties? c'est du VOL!. Dans l'émission cash investigation du 20/11/19 on apprend que François Hollande a donné 100 milliards d'euros aux entreprises pour le CICE.Carrefour en a été le premier bénéficiaire avec 755 millions d'euros d'aides reçues en 6 ans. Sur cette période plus de 7000 postes ont été supprimés dans les magasins de l'enseigne, des caisses automatiques ont été installées et le salaire des cadres a été revu à la hausse. Et c'est la taxe carbone sur les carburants qui a financé le CICE. Les politiques nous ont fait croire qu'elle servait à financer la transition écologique alors qu'en réalité elle engraissait les plus gros employeurs. Et c'était prévu, à l'initiative de Macron, qu'elle augmente fortement tous les ans jusqu'en 2030. C'est la révolte des gilets jaunes qui a stoppé cette augmentation mais cette taxe existe toujours. Et quand je postule chez ces employeurs, et chez les menteurs qui mettent des affiches ""ici on recrute"", ils ne veulent pas me donner le moindre travail malgré mes études et mes compétences. Et c'est moi qui doit rendre des comptes pour 490 euros de rsa/mois, c'est moi qui suis livré aux charognards, à la veulerie de la masse et qui doit subir la honte et les injures. L'État est faible avec les forts et fort avec les faibles. Les périodes troublées comme celles que nous vivons, où le malheur s'abat sur la population honnête, sont des périodes bénies pour les forbans de tout acabit qui s'enrichissent sur la misère des autres. Ils sont naturellement à leur affaire.",2019-11-20 14:44:00,0,5,1,0,0,0,0,-1.0,-1.0,-1.0
a9536869-0b62-11ea-ac8c-0242ac110002,"Traitement individuel ou conjoint. Suite à un échange en consultation citoyenne sur ce thème, la réponse était confuse. Si il y avait autant de pères célibataires avec 2 enfants en garde principale que de mères célibataires, peut-être penserait-on autrement la suppression des minimas sociaux à une femme qui se remet en couple. Elle ne doit pas dépendre du nouveau conjoint, ni pour ses enfants d'une union précédente, ni pour elle même et son autonomie en tant que personne. On risque de la remettre en situation de dépendance financière, et parfois en grand danger d'exclusion ou de violences conjugales. Il n'est pas monnaie courante qu'une mère célibataire sans ressources trouve un mari très riche et fraude avec son ASS ... ceci devrait représenter une somme dérisoire dans le budget du Revenu Universel d'Activité non ?",2019-11-20 07:54:00,53,60,1,0,0,1,0,0.8852459016393442,-1.0,-1.0
7ef03c8b-0b23-11ea-ac8c-0242ac110002,"les risques. sipar  malheur l'AAH  était dans le périmètre du Revenu Universel d'Activité ,qu'en serait-il demain de l'AAH individualisé ?,pour le versement de l'AAH qu'elle serait la base ressources prise en compte?Ce revenu d'existence doit par ailleur respecter l'autonomie des personnes et leur coix de vie ....",2019-11-20 00:22:00,28,54,1,0,0,0,0,0.5272727272727272,-1.0,-1.0
0016b00a-0b20-11ea-ac8c-0242ac110002,"prise en compte pour les personnes qui vivent en couples sans être mariés mais aussi pour la pension de réversion!. Bonjour! il me semble normal que les gens qui vivent en couple sans être mariés depuis des années et qui ont 1 ou des enfants puisse bénéficier de la pension de réversion du conjoint! De ne nos jours le mariage ne veux plus rien dire, c'est juste un acte administratif! ",2019-11-19 23:57:00,20,78,1,0,0,0,0,0.26582278481012656,-1.0,-1.0
98ae0f41-0ad1-11ea-ac8c-0242ac110002,"REVENU UNIVERSEL D’ACTIVITÉ (bonne idée ou usine à gaz ?). Sacré nom d'une pipe, mais qu'est-ce qu'il prend à notre cher Président de se lancer dans une telle aventure ?  En effet, alors qu'il n'y a aucune demande pour révolutionner le système, et que n'y 	- les partis politiques, 	- les syndicats, 	- les associations, 	- les travailleurs sociaux, 	- les simples citoyens, ne demandent quoi que ce soit, nous voici face à la plus belle série d'injonctions contradictoires qu'on ait jamais vue sous la Ve République.  Il s'agit en effet, soit disant...,  	- de simplifier le système pour permettre à tous les allocataires de rentrer dans leurs droits,       sans augmenter le déficit de l’État, 	- de faire diminuer le chômage sans que personne ne soit lésé.  Bonne chance !!! Alors comment faire, et est-ce seulement possible de créer ce Revenu Universel d'Activité.  Le gros problème c'est que je n'aime pas beaucoup l'intitulé même de cette allocation. Universel et activité, cela ne va pas ensemble.  UNIVERSEL On nous dit que ce revenu doit être Universel, ce qui sous-entend que tout le monde peut y prétendre. Universel peut aussi signifier que le public concerné pourra y prétendre dans tous les cas, donc sans conditions.  ACTIVITÉ Cependant la présence du mot activité dans le titre de l'allocation sous-entend qu'il y aura l'obligation d'une activité si vous voulez percevoir votre allocation.  Ce n'est pas moi qui parlais d'injonctions contradictoires ?  LA MISE EN ROUTE Je pense avec effroi au premier jour où cette allocation entrera en vigueur. On nous dit que potentiellement elle pourrait concerner plus de 10 millions d'allocataires. J'imagine donc tous ces gens se précipitant au guichet de leur caisse de sécurité sociale ou d'allocations familiales, pour y demander des explications sur une allocation qu'ils ne comprendront pas. Les files d'attente risquent d’être longues, l'exaspération guettera, ce que les fonctionnaires appelleront incivilités ou agressions. Pour faire passer 10 millions de personnes qui risquent de revenir plusieurs fois, il faudra des années.  RISQUE SOCIAL, RISQUE POLITIQUE Après les remous provoqués par les gilets jaunes pour une simple question de pouvoir d'achat, le Président de la République semble être prêt à remettre le couvert. En effet, si ce n'était pas pour faire des économies, donc de nombreux perdants, à quoi ce chamboule-tout rimerait-il. Comme dit la comique «On ne nous dit pas tout». Mais en plus d’être insincère sur le but final de cette réforme, apparaît aujourd'hui une volonté moraliste et infantiliste, où l'on doit traiter les allocataires comme des enfants à qui l'on explique que pour recevoir des prestations il faut les mériter. N'est-ce pas un beau rétablissement de l'ordre moral. Mais attention quand la morale l'emporte, la liberté recule. Je pensais, naïvement, que nous vivions dans une société de droit, et non pas de morale. Je croyais que nous étions libres de penser et de faire ce que nous voulions, tant que nous respections la loi, et bien non, maintenant il faut le mériter.  Autrement dit : 	- Pour percevoir l'APL il faudra la mériter, sinon à la rue. 	- Pour percevoir l'AAH il faudra la mériter. 	- Pour percevoir les allocations familiales, il faudra les mériter.  Pensez-vous que les citoyens accepteront sans broncher de se faire traiter ainsi...? Ils se vengeront! Et des urnes sortira ce qu'il devra en sortir!  Faut-il alors ouvrir la fameuse boite à maléfices, la boite de Pandore ? Ce qui sera en l'occurrence une boite à claques !  LE REVENU UNIVERSEL D'ACTIVITÉ EST-IL SÉCABLE EN 2? Le gros problème du Revenu Universel d'Activité est la conditionnalité à une activité. En effet, il y a tellement de cas particuliers qu'il paraît aléatoire d'imposer la contrainte d'une activité à la délivrance d'une allocation.  Quel rapport entre",,22,22,0,0,0,0,0,1.0,-1.0,-1.0
cff0ffd7-0aac-11ea-ac8c-0242ac110002,"Ne pas prendre la situation personnelle de la personne dans le calcul du revenu (AAH). L’autonomie de la personne devrait être préservée, qu’elle soit en couple ou non. Cette donnée ne devrait pas interférer sur le calcul du revenu. C'est une difficulté qui revient régulièrement dans la mise en place des projets de vie, notamment pour les salariés ESAT (qu’ils soient en établissement ou en appartement).",2019-11-19 10:13:00,15,67,1,0,0,0,0,0.23529411764705882,-1.0,-1.0
967ec62c-0a5c-11ea-ac8c-0242ac110002,"Les revenus du foyer. Aujourd'hui, l'AAH est individualisée: qu'en serait-il demain? Quelle serait la base ressources qui serait prise en compte pour le versement de l'AAH? Un revenu convenable d'existence doit être au moins égal au seuil de pauvreté et par ailleurs respecter l'autonomie des personnes et leur choix de vie",2019-11-19 00:38:00,16,77,0,0,0,0,0,0.21794871794871795,-1.0,-1.0
0a01c387-0a2b-11ea-ac8c-0242ac110002,"Plus de controle. Pas de droits sans controle. En france, il y a trop de triche aux aides sociales donc le systeme est injuste: il faut tout controler regulierement. Pourquoi les impots nous trouvent pour payer l'impot et pas la Caisse d'Allocation Familiale pour les aides. A l'heure de l'informatique, de qui se moque t on? ",2019-11-18 18:44:00,23,49,0,0,0,0,0,0.48,-1.0,-1.0
