proposal_id;proposal_text;creation_datetime;nb_entailed_proposals;nb_contradictory_proposals;nb_votes_for;nb_votes_mixed;nb_votes_against;nb_args_for;nb_args_against;controversiality_nli;controversiality_votes;controversiality_args;label
8fbd2656-ea6f-11e9-bb9d-0242ac110002;Non à l'anonymat dans cette consultation. Pour cette consultation citoyenne deux règles de bases auraient dut être instituées : 1 s'exprimer avec son identité - 2 Etre Electrice ou Electeur inscrit;2019-10-09 10:34:00;3;15;20;9;24;6;6;-1.0;0.8823529411764706;1.0;basic needs support/general questioning
9dd187ba-ea6a-11e9-bb9d-0242ac110002;Supprimer toutes les aides sauf pour les handicapés. Pour éviter de faire de faire de la France un peuple d'assistés, supprimons toutes les aides sauf pour les handicapés. Cela redonnera l'envie de créer, de se battre pour réussir... Il est inconcevable de donner des allocations à des jeunes de 18 ans comme projeté;;4;210;12;5;46;5;5;0.0236966824644549;0.3461538461538461;1.0;disability allowance
60fadc6a-ea5f-11e9-bb9d-0242ac110002;Pas de récupération sur succession du Revenu Universel d'Activité en y intégrant ASPA. ASPA est aujourd'hui récupérable sur succession, ce qui n'est pas le cas des autres prestations que le gouvernement souhaite fusionner dans ce nouveau dispositif. Il ne faudrait pas que le revenu universel d'activité soit récupérable sur succession si l'ASPA y est intégrée.;2019-10-09 08:38:00;245;55;38;18;17;5;5;0.2276422764227642;0.631578947368421;1.0;financing
d911e77f-ea55-11e9-bb9d-0242ac110002;activité en contrepartie du Revenu Universel d'Activité. en contrepartie du Revenu Universel d'Activité le bénéficiaire doit participer à une formation en entreprise ou autre, ou bien travailler en doublon dans le public ou le privé, pour rester actif.quand on est inactif on perd l'habitude de travailler. ;2019-10-09 07:30:00;8;4;66;13;66;17;17;-1.0;1.0;1.0;terminology
82a27ea5-ea53-11e9-bb9d-0242ac110002;Les travailleurs pauvres. Actuellement, le travail ne permet plus de vivre décemment. Le salaire minimum est inférieur au prix de certains loyers. Le revenu minimum doit permettre à tout travailleur de vivre décemment.;2019-10-09 07:13:00;1;15;60;6;9;6;6;-1.0;0.2388059701492537;1.0;rua for everybody with conditions
d1419ee6-e907-11e9-adee-0242ac110003;"Adapter le montant du Revenu universel d'activité au coût de la vie selon les territoires. Le coût de la vie n’est pas identique partout sur le territoire. Certaines dépenses (logement en particulier mais également transports ou prix de certains produits de première nécessité) peuvent varier considérablement."" Le Revenu universel d’activité pourrait prendre en compte une partie de ces variations par exemple dans le cadre d'un regroupement avec les aides au logement. """;2019-10-07 15:38:00;5;24;511;229;442;88;101;0.24;0.9068825910931174;0.8725490196078431;digitization and simplification
d0e0e477-ea69-11e9-bb9d-0242ac110002;Créer des emplois heureux. Côté salariés = je travail pour le plaisir car je n'ai plus la peur de ne pas subvenir aux besoins de mes proches et moi mêmeCôté entreprise = je baisse le coût du travail en France et en fait l'un des pays les plus compétitifs d'Europe voir mondialPour cela il faut ouvrir ce dispositif a tous des la majorité. Et ce, sans distinction de revenus. Un pays sans pauvreté et une créativité sans limite. Ça vous tente ?;2019-10-09 09:53:00;1;67;41;8;4;5;6;0.0294117647058823;0.26;0.8571428571428571;rua for everybody without conditions
c967e7bd-ea65-11e9-bb9d-0242ac110002;Fonctionnement RU. un seul numéro celui de la CPAM pour une meilleure harmonisation et de meilleurs contrôle entre les organismes. Que la Caisse d'Allocation Familiale devienne une filiale de la CPAM. allocation qui n’augmente pas au dessus de 3 enfants suppression des aides superflues qui s’accumulent pas plus de 2 RU par foyer fiscal si 2 RU dans le même foyer diminution du RU, pas payer 2 allocations logement pour le même foyer ;2019-10-09 09:24:00;1;57;13;6;7;4;5;0.0344827586206896;0.7;0.8333333333333334;protection of beneficiaries
b1c7e0d5-ea84-11e9-bb9d-0242ac110002;"la transparence honnête. Puisque nous somme à l'aire du numérique je pense qu'il serait tout à fait possible de regrouper toutes les aides en un service automatisé, et que le Revenu Universel d'Activité devienne une garantie de ne plus jamais atteindre un certain seuil de pauvreté, que l'on pourrais choisir en échange de sa transparence :Si vous décidiez de signer pour avoir une garantie Revenu Universel d'Activité, vous vous engagez à être transparents sur vos revenus via votre compte en banque, en échange de quoi l'état vous verserait la différence qu'il vous reste a atteindre pour être au dessus du seuil fixé. ( calculé en fonction de votre situation, le loyer minimum de votre ville, votre âge, etc )Si vous décidiez de ne pas être transparent sur votre compte en banque avec l'état, alors vous ne pourrez pas demander de garantie Revenu Universel d'Activité. L'on éviterai ainsi pas mal de fraudes .De son côté l'état pourrait prélever l’impôt à la source ( juste et équitable) en fonction des revenus de la personne sur le mois, beaucoup de paperasse serait ainsi éviter :pour les micro entrepreneurs par exemple, l'état pourrait voir les réels revenus, charges et bénéfices d'une personnes, il ne serait pas nécessaire de faire la traque aux gens qui ne déclarent pas les revenus de ventes de créations artisanales puisque tout apparaîtrait sur leur compte en banque. La vente d'objets d'occasion par exemple pourrait ne pas être imposable au dessous d'un certains seuil de bénéfices pour ne pas enfoncer encore plus les personnes sans ressources qui se débrouillent comme elles peuvent pour survire, et ce peu importe que les objets ai été achetés par cette même personne ou non, car ainsi le marché de l'occasion grandirait et permettrait un recyclage permanent des tonnes de choses que les français plus riches jettent chaque année. Ainsi, si par exemple en revendant vos vieux objets, ou des objets que vos proches vous auraient donné pour vous aider, si vous réalisez l'équivalent d'un Salaire Minimum de Croissance sur le mois vous serez imposé comme une personne salariée au Salaire Minimum de Croissance. cela me parait complètement équitable.l'état pourrait prendre en compte les charges de chacun en fonction du coût de la vie moyen dans la région, et prendre en charges le minimum vital pour payer l'eau, un loyer modeste et la nourriture si la personne vit en dessous du fameux seuil fixé.l'Etat pourrait récupérer cette somme en taxant davantage les pollueurs, les gens ou les entreprises qui consomment trop d'eau ou de ressources naturelles ( exemple : les agriculteurs qui réalisent des cultures pas adaptées à leurs régions et qui réclament davantage d'arrosage, ou encore les particuliers qui dépensent beaucoup trop d'eau ou d'électricité par rapport à leur réels besoins )je pense qu'il est important que chacun apporte sa part à la société et que à partir du moment ou l'on vous garantie un Revenu Universel d'Activité vous devez contribuer à l’impôt ( aussi symbolique soit il. pourquoi pas 1€ au lieu de 0€ pour les plus basses tranches ? ), et que l'Etat doit pouvoir nous faire savoir où part cet argent, et ne pas dépenser plus que necessaire dans le ""protocole"", les repas, les déplacement des élus ( comme les préfets qui abusent souvent de leurs droits ) etc.";2019-10-09 13:05:00;14;13;12;8;17;4;5;0.9333333333333332;0.8076923076923077;0.8333333333333334;digitization and simplification
94e60ab2-ea77-11e9-bb9d-0242ac110002;"Coupler Revenu Universel d'Activité et action environnementale citoyenne. Notre pauvreté s'élevait à presque 9 millions de personnes il y a un ou deux mois encore. Et si on utilisait les dérives de notre modèle économique historique pour en faire une force face au changement climatique ? Sollicitons nos demandeurs de revenu d'activité pour qu'ils mènent une activité qui préserve l'environnement, leur donne du sens et leur redonne confiance sur le long terme. L'objectif ? > Redonner du sens et de la confiance à des personnes inactives depuis du court, du moyen ou du long terme.> Lutter pour limiter l'émission de Gaz à effet de serre en décernant une activité ""carbone positive""> Amorcer un changement de comportements, de mentalités.> Offrir un avenir moins hostile à nos enfants Comment ? 1) Rôle des bénéficiaires des aidesIls obtiennent leur revenu d'activité en échange de leur activité ""carbon positive""C'est quoi une activité ""carbone positive"" ?Ce sont les actions réalisées pour préserver l'environnement.> des actions de sensibilisation> des actions concrêtes sur le terrain> des actions de recherche (pour trouver de nouvelles solutions / nouvelles actions positives)Il y aura plusieurs niveaux d'actions : celles qui ne nécessitent pas de formation, celles qui en demanderont et celles qui demanderont une réelle spécialisation métier. Selon leurs parcours et leurs ambitions, les bénéficiaires du revenu d'activité pourront être orientés sur la nature de leur action. 2) Rôle de l'état> Créer une nouvelle branche pôle emploi : elle évalue les compétences et les ambitions des demandeurs pour proposer les activités ""carbone-positives"" recherchées.> Des structures pilotes dans 4 à 5 municipalités pour commencer et améliorer le dispositif dès aujourd'hui.> Anticiper et faire face aux freins lobbyistes.> Une implémentation en 2023.Combien ça coûte ? La vraie question est combien on gagne, car, que des activités puissent être menées sans formation immédiatement ou qu'elles exigent certaines formations (il devra y avoir un nivellement de la formation, c'est évident), les bénéfices seront économiques et humains. Une fois le dispositif en place, la plus-part des actions évoquées deviendront peut-être des métiers ou des compétences à réinvestir dans de futurs emplois et autant d'économies générées par des profils plus valorisés et valorisant.  9 millions de personnes actives, qui retrouvent le goût du labeur avec fierté et sens, qui obtiennent leurs aides et qui agissent pour demain, cela peut ne pas être qu'une utopie. Il n'y a aucun frein à une telle perspective sauf si l'on inclue quelques lobbies de l'industrie du carbone. Nous pourrons dire à nos enfants : nous sommes conscients et nous agissons pour vous socialement et pour l'environnement. Si vous réagissez à cette proposition, merci d'être empathique, ne jouez pas sur les mots, pour être constructifs ensemble. Je pourrais préciser des exemples d'activités si la proposition va plus loin. Je sais qu'en imaginant un tel dispositif, vous l'irradirez de nouvelles perspectives.  Etienne, Citoyen et père de famille.";2019-10-09 11:31:00;104;9;20;8;12;4;5;0.0952380952380952;0.7241379310344828;0.8333333333333334;rua value/disability allowance/basic needs support
